,...1,Name,Wins,WinPercentage,Pace,eFG,TOV,ORB,DRB,FTF,oppeFG,oppTOV,oppORB,oppDRB,oppFTF
108,14,unb,12,0.6,2.012772898,0.401829697,0.196525382,0.365461847,0.753383459,0.183673469,0.435802469,0.242877691,0.246616541,0.634538153,0.200823045
109,15,trinitywestern,12,0.6,1.869525,0.441978193,0.220252485,0.333333333,0.707150965,0.17834891,0.41436865,0.169103353,0.292849035,0.666666667,0.140058055
110,16,laurier,9,0.375,1.860202662,0.378972279,0.215526462,0.234752589,0.678787879,0.21974307,0.395020996,0.175455438,0.321212121,0.765247411,0.179364127
111,17,ottawa,21,0.913043478,1.861738945,0.48467433,0.200665061,0.382284382,0.736958935,0.167943806,0.371387283,0.243437522,0.263041065,0.617715618,0.193641618
112,18,lethbridge,12,0.6,1.973355016,0.437637564,0.21015873,0.372005044,0.728346457,0.209097579,0.43793911,0.215822785,0.271653543,0.627994956,0.202185792
113,19,toronto,6,0.260869565,1.906376562,0.371690428,0.221404304,0.281603289,0.623126338,0.193482688,0.425693527,0.238476457,0.376873662,0.718396711,0.201453104
114,20,saintmarys,3,0.15,2.000985346,0.398528273,0.208687394,0.207070707,0.653164557,0.183578621,0.427525058,0.216270702,0.346835443,0.792929293,0.262143408
115,21,waterloo,6,0.25,1.941019865,0.324525745,0.248299177,0.275751073,0.662728249,0.213414634,0.408951563,0.197747901,0.337271751,0.724248927,0.186388719
116,22,dalhousie,8,0.4,1.997373687,0.412240185,0.238857517,0.328534031,0.696569921,0.181678214,0.422028766,0.207156543,0.303430079,0.671465969,0.227100681
117,23,stfx,0,0,2.12995,0.368698269,0.252891893,0.266233766,0.670572917,0.135440181,0.426301555,0.177148944,0.329427083,0.733766234,0.211629479
118,24,winnipeg,8,0.4,1.916325,0.395014045,0.174056431,0.320776256,0.645443196,0.139747191,0.42851682,0.23343824,0.354556804,0.679223744,0.193425076
119,25,thompsonrivers,4,0.2,1.842683532,0.369019608,0.20933739,0.259095921,0.620689655,0.168627451,0.469619327,0.207907202,0.379310345,0.740904079,0.13250366
120,26,regina,17,0.85,1.89675,0.46935139,0.190362017,0.406857143,0.71888412,0.196721311,0.353231939,0.216926891,0.28111588,0.593142857,0.162737643
121,27,mountroyal,2,0.1,2.130665669,0.372275204,0.241989902,0.295857988,0.589403974,0.139645777,0.460677966,0.216552114,0.410596026,0.704142012,0.248813559
122,28,windsor,17,0.708333333,1.892036499,0.450277949,0.209032853,0.400455063,0.727375566,0.160592959,0.395029431,0.199268618,0.272624434,0.599544937,0.191628515
123,29,queens,15,0.652173913,1.971108696,0.426294821,0.257749029,0.407158837,0.719077568,0.203851262,0.396141479,0.224242424,0.280922432,0.592841163,0.122186495
124,30,brandon,5,0.25,1.949913043,0.398026316,0.237918596,0.218673219,0.600671141,0.200657895,0.465147453,0.19037949,0.399328859,0.781326781,0.134718499
125,31,manitoba,8,0.4,2.001718984,0.406813627,0.17254554,0.324898785,0.609921082,0.162324649,0.443931867,0.2268728,0.390078918,0.675101215,0.183108588
126,32,guelph,9,0.375,2.058505531,0.40497076,0.219262955,0.37694704,0.650828729,0.189473684,0.446096654,0.229498477,0.349171271,0.62305296,0.200743494
127,33,algoma,5,0.208333333,1.817276663,0.390126206,0.268965062,0.246445498,0.653932584,0.20861173,0.436057392,0.190823419,0.346067416,0.753554502,0.218964442
128,34,laurentian,7,0.304347826,1.89739673,0.414213927,0.214984231,0.217587373,0.662715517,0.213208902,0.423411371,0.214764949,0.337284483,0.782412627,0.214715719
129,35,ubcokanagan,1,0.05,1.895801242,0.376971609,0.230196522,0.284745763,0.672374429,0.178233438,0.458423717,0.1782217,0.327625571,0.715254237,0.191612437
130,36,lakehead,20,0.833333333,1.952439024,0.462885986,0.18799006,0.371527778,0.688311688,0.141330166,0.392832765,0.247401472,0.311688312,0.628472222,0.206825939
131,37,ufv,10,0.5,1.80142607,0.410912191,0.229644225,0.2823219,0.676904177,0.205456095,0.404272802,0.205732714,0.323095823,0.7176781,0.242399343
132,38,memorial,9,0.45,2.179984856,0.423269094,0.174719636,0.24173028,0.695035461,0.244111349,0.410927152,0.180130248,0.304964539,0.75826972,0.171523179
133,39,mcmaster,21,0.875,1.990329304,0.453449243,0.177642891,0.355058366,0.666666667,0.160964666,0.373540856,0.272101641,0.333333333,0.644941634,0.170557717
134,40,bishops,2,0.125,1.8791875,0.345170455,0.202539599,0.28137931,0.625210084,0.15530303,0.462441315,0.217442211,0.374789916,0.71862069,0.148356808
135,41,laval,15,0.9375,1.866561415,0.511734694,0.223890762,0.35021097,0.755980861,0.187755102,0.34679803,0.191615961,0.244019139,0.64978903,0.153694581
136,42,nipissing,3,0.130434783,1.922880802,0.350993377,0.196935301,0.255639098,0.609589041,0.146357616,0.446461538,0.179335159,0.390410959,0.744360902,0.157538462
